9/30/95 Shoreline Amphitheatre, Mountain View, CA

7/31/97 Shoreline Amphitheatre, Mountain View, CA
8/2/97 Gorge Amphitheatre, George, WA
8/3/97 Gorge Amphitheatre, George, WA

7/15/98 Portland Meadows, Portland, OR
7/16/98 Gorge Amphitheatre, George, WA
7/17/98 Gorge Amphitheatre, George, WA
7/19/98 Shoreline Amphitheatre, Mountain View, CA

10/17/98 Shoreline Amphitheatre, Mountain View, CA
10/18/98 Shoreline Amphitheatre, Mountain View, CA

9/10/99 Gorge Amphitheatre, George, WA
9/11/99 Gorge Amphitheatre, George, WA
9/16/99 Shoreline Amphitheatre, Mountain View, CA
9/17/99 Shoreline Amphitheatre, Mountain View, CA
9/18/99 Coors Amphitheatre, Chula Vista, CA
9/19/99 Verizon Wireless Amphitheater, Irvine, CA

12/5/99 BlueCross Arena, Rochester, NY
12/7/99 Cumberland County Civic Center, Portland, ME
12/8/99 Cumberland County Civic Center, Portland, ME
12/10/99 Wachovia Spectrum, Philadelphia, PA
12/11/99 Wachovia Spectrum, Philadelphia, PA
12/12/99 Hartford Civic Center, Hartford, CT
12/13/99 Providence Civic Center, Providence, RI

12/30/99 Big Cypress Seminole Indian Reservation, Big Cypress, FL
12/31/99 Big Cypress Seminole Indian Reservation, Big Cypress, FL 

7/10/00 Ruoff Music Center, Noblesville, IN
7/11/00 Ruoff Music Center, Noblesville, IN
7/12/00 Ruoff Music Center, Noblesville, IN 
7/14/00 Polaris Amphitheater, Columbus, OH
7/15/00 Polaris Amphitheater, Columbus, OH 

9/29/00 Thomas & Mack Center, Las Vegas, NV
9/30/00 Thomas & Mack Center, Las Vegas, NV 

10/4/00 Coors Amphitheatre, Chula Vista, CA 
10/5/00 Verizon Wireless Amphitheater, Irvine, CA 
10/6/00 Shoreline Amphitheatre, Mountain View, CA
10/7/00 Shoreline Amphitheatre, Mountain View, CA 

2/15/03 Thomas & Mack Center, Las Vegas, NV
2/16/03 Thomas & Mack Center, Las Vegas, NV 

8/2/03 Loring Commerce Centre, Limestone, ME
8/3/03 Loring Commerce Centre, Limestone, ME 

8/9/04 Hampton Coliseum, Hampton, VA 
8/10/04 Great Woods Center for the Performing Arts, Mansfield, MA
8/11/04 Great Woods Center for the Performing Arts, Mansfield, MA 
8/14/04 Newport State Airport, Coventry, VT
8/15/04 Newport State Airport, Coventry, VT 

8/7/09 Gorge Amphitheatre, George, WA
8/8/09 Gorge Amphitheatre, George, WA 

10/30/09 Empire Polo Club, Indio, CA
10/31/09 Empire Polo Club, Indio, CA
11/1/09 Empire Polo Club, Indio, CA 

8/8/11 Hollywood Bowl, Hollywood, CA 
8/9/11 Lake Tahoe Outdoor Arena at Harveys, Stateline, NV
8/10/11 Lake Tahoe Outdoor Arena at Harveys, Stateline, NV 

8/17/12 Bill Graham Civic Auditorium, San Francisco, CA
8/18/12 Bill Graham Civic Auditorium, San Francisco, CA
8/19/12 Bill Graham Civic Auditorium, San Francisco, CA 

10/18/14 Key Arena, Seattle, WA 

7/21/15 Les Schwab Amphitheater, Bend, OR
7/22/15 Les Schwab Amphitheater, Bend, OR 

7/15/16 Gorge Amphitheatre, George, WA
7/16/16 Gorge Amphitheatre, George, WA

10/28/16 MGM Grand Garden Arena, Las Vegas, NV
10/29/16 MGM Grand Garden Arena, Las Vegas, NV
10/30/16 MGM Grand Garden Arena, Las Vegas, NV
10/31/16 MGM Grand Garden Arena, Las Vegas, NV 

7/20/18 Gorge Amphitheatre, George, WA
7/21/18 Gorge Amphitheatre, George, WA
7/22/18 Gorge Amphitheatre, George, WA

8/27/21 Gorge Amphitheatre, George, WA
8/28/21 Gorge Amphitheatre, George, WA
8/29/21 Gorge Amphitheatre, George, WA 
